Negative,Positive
"@psufka too bad. They've just opened the new @JWMarriottATX, hosting all health sessions there -- closer, easier than previous years.",Getting ready for the @inspirato member summit with our awesome partners @Cadillac @WheelsUp @thejoule pic.twitter.com/H6WQMgaTOZ
".@JWMarriottATX is a gorgeous hotel, but poor wifi and false fire alarm mid-session add up to #sxswfail #SXSWproblems #SXSWInteractive",@thejoule My first time at this hotel will be my last time!! #lovely view of the HVAC! Back to Magnolia next year!! pic.twitter.com/qkrKrDcVzG
Burger Bar @JWMarriottATX not recommended by @austin360  http://dining.blog.austin360.com/2015/03/10/quick-bites-i-dont-recommend-burger-bar-at-the-jw-marriott/Ã‚Â Ã¢â‚¬Â¦,Let's meet there sometime! RT @Max_Trowbridge: Love my #TeaCup from thejouledallas thejoule ... tmi.me/1eWwgo
"Dined for the first time at the @JWMarriottATX. The food was awesome but experienced the worst service ive ever had, anywhere  #atx",@thejoule thank you im in the UK so unable to call thank you though
"Downtown via @streamlinecycle. Foggy, wet and cold. Be careful, we care. fsaustin  jwmarriottatxÃ¢â‚¬Â¦  https://instagram.com/p/zv46ZWIFiH/Ã‚Â ",Love my #TeaCup from thejouledallas thejoule #TeaAtTaschen #HighTea #TeaAddict by @cristinareÃ¢â‚¬Â¦ instagram.com/p/xzq5dMp0Gs/
@JWMarriottATX not knowing if the empty tables outside are available or not is not a good start.,Check out #spaces like @thecommondesk  @TheGroveDallas  and @thejoule on the #RealTechPartyBus. Info here: dxzmedia.com/realtech-homepÃ¢â‚¬Â¦
"Very disappointed with @HiltonGardenInn Ottawa Downtown. Manager Cyrille wouldnâ€™t honour our package booked online for 3 adults @HiltonHotels. He wanted us to pay extra for a 3rd breakfast, when package clearly didnâ€™t display any restrictions online. See attached photo. pic.twitter.com/7hkhD447ma",Get ready for a great week with Crunch and Brunch @thejoule #NearbyMuseumTower this Sunday: bit.ly/MTDValentine
#ISawYouStaringAnd realized youâ€™ve never seen such a mouthwatering charcuterie board! ðŸ¤¤ Luckily I have extra plates (for me). pic.twitter.com/gOk34YUjkT,Great time playing the @DallasArtFair Closing Party last night with @leonbridges and fam! And shout out to @thejoule for the hospitality!
"With views like these, how can you have a bad Monday? ðŸ’™ #mondaymotivation #hiltongardeninn #westpalmbeach #thepalmbeaches #visitwpb pic.twitter.com/480VcQdNtB",Great meeting with y'all! @liveoakvp @DFWStartupWeek @thejoule @SethalaSnyder @SirRyGuy @tufticus @NoiseAwareDotIO @anisht56 @UrbanFarmBoss
"This is so wrong of @HiltonGardenInn of Port St. Lucie, FL  https://www.youtube.com/watch?v=iff9Ru15scEÂ â€¦",Can we talk about these desserts for a second? They are so beautiful and delicious! Special thanks to @thejoule pic.twitter.com/Yqts6ITN96
@HiltonGardenInn I am in shock. Your valet parked my car in your garage overnight during my stay as Iâ€™m watching over my mother in Vanderbilt ICU. My car was broken into and ransacked. No one even said sorry this happened,We are excited to welcome our #ESCI16 sponsors to @thejoule tonight. pic.twitter.com/pA0FEOx4AW
"Beware of the Tuscaloosa HGI. They change their cancellation policy on football weeks, absolutely no cancellation for any reason at any time. If you book on the mobile app thereâ€™s no warning, very sneaky, poor customer service.",Beautiful books #taschenbooks thejoule #thejoule #dallas @ The Joule  Dallas instagram.com/p/2opNVYE8um/
"Continued disappointment from customer service @HiltonGardenInn. No follow up (as promised) from hotel management, despite detailed email. Not even a courtesy response/acknowledgment. Bad, frustrating guest relations. There are better choices for your money.  #KingsIsland #Cincy",@GrGiulia Great stay at @thejoule really was one of the highlights of our honeymoon #dallas #honeymoon pic.twitter.com/xp0j9vNFrw
Hilton Garden Inn Canpark Ãœmraniye'de tatlÄ± lezzetlerimiz hiÃ§ bitmez.ðŸ®ðŸ§ðŸ¥§ðŸ°ðŸŽ‚  In Hilton Garden Inn Canpark Umraniye our desserts never ends.   #Hilton #Hiltonhotel #Hiltongardeninn #Hotel #istanbulhotels #holiday #tatil #istanbul #Ø§Ø³Ø·Ù†Ø¨ÙˆÙ„ #Ð¡Ñ‚Ð°Ð¼Ð±ÑƒÐ» #istanbulcity #cake #sweet pic.twitter.com/UlnBNdmncD,@thejoule we had a wonderful stay and appreciate the gift in our room in honor of our anniversary. #Dallas #greatcustomerservice
"Oops, they did it again! And this will be the last time staying at @HiltonGardenInn. Bad experience at the Mason ,OH location. Stayed the exact same week last year, with the EXACT same problems! Are you kidding me!? You got a second chance... and you blew it! #CustomerLostForGood",The #EiFRoadTrip team is watching Mexico vs. Jamaica at Wheelhouse in Dallas after checking into @thejoule. Great spot for watching soccer! pic.twitter.com/lkw245bwmE
Clothes stolen from #HiltonGardenInnLasVegasCityCenter. No resolution.  No compensation.  All managers dodging my calls and inquiries. Disabled Veteran getting screwed. What's next?  @bbb_us @HiltonGardenInn @hgi_lv @HiltonHotels @HiltonHonors @KTNV @8NewsNow @DAVHQ @iava @VFWHQ,@thejoule #redemption great follow up to original issue and superior responsiveness to subsequent missing receipt request #customerloyalty
@HiltonGardenInn at the Ottawa Airport are rude AF I wanted to fight your staff through the phone,Wedding pictures are in! It was the most beautiful day in Dallas! @thejoule #JennyMartellPhotography pic.twitter.com/0W2liNnV0w
"Hi, we feel terrible that this has been your experience and we'd like to look into this. Please follow and DM us the confirmation number, along with the full name and email address listed on the booking. Thank you kindly. - LE",Sew Awesome! Javier Tellez's Studio featured in 1530 Main @thejoule @HeyMargaux @RamblerBar #BarBacksRock #Talent ow.ly/UCx4L
@HiltonGardenInn thank you for the worst experience of a hotel stay,Thank you @thejoule for a great night! @missdorsett #MidnightRambler #BecomingBarger
"Could you have picked 4 worse places, how about idk Hell and Hell's basement probably two better places than these",With paper and pen at #thejoule #communaltable  just like old times. #amediting #thejouledallasÃ¢â‚¬Â¦ instagram.com/p/BPQXJkIAOgf/
"Disappointed is not the word we want used to describe us!    Please follow and DM with the full name, confirmation number, email address and phone number on the reservation along with the details of your experience so we can further assist.  We will look for your DM.-JMM",Before heading to the Gold Cup matches  our team checked out some of the beautiful  museum-quality artwork in the lobby of @thejoule pic.twitter.com/4xi5AqbiFD
"Several bad experiences @HiltonGardenInn  Indy Northeast.  My room was suppose to have snacks it didnâ€™t, no big deal.  I did not get what I ordered for breakfast.    Too many others things to list, after 44 nights in a Hilton this year I know they can do better.",Hollywood-style drama comes to Dallas via @thejoule's gorgeous rooftop pool #WishWeWereThere ow.ly/QPxDN pic.twitter.com/SqbX0HaaZg
"I've had good experiences with  http://Hotels.comÂ  generally, and I'm a longtime happy Hilton member. Still, I had an epically terrible experience with a Hilton franchise a couple years ago. It took some time to research, but contacting the owners helped get resolution.",In downtown #Dallas  head to @thejoule for a great cup of @VictrolaCoffee at @AhhWeekend purecoffeeblog.com/2017/08/weekenÃ¢â‚¬Â¦ #fillinthecoffeemap #texas pic.twitter.com/KZS1kYJNBr
"And although there was a storm overnight, I shouldn't expect water to be dripping into my room - some of which would be the stagnant water I can see from my office. I just received an apology and little else... Bit bad really... @HiltonGardenInn",@SarahTheDuchess so great bumping into you @thejoule and you graciously helping with the door  class act! pic.twitter.com/tkmEWjTReK
Fairly unhappy with the response I've just had as a guest at @HiltonGardenInn Birmingham Brindley Place... after concerns about stagnant water above my room last night. Was unable to be moved in the night as fully booked... 1/2,@DouglasCP @thejoule They are! It's a great place to stay in Downtown Dallas :)
"Want to know why the entire concept of valet parking is pure stupid? Stand here with me at the @HiltonGardenInn Atlanta Buckhead, while the guy brings around the wrong car for the person in front of me. Now he has to get the right one and then mine. Wasted time, plane to catch.",@hillarykerr loved my stay a couple years ago at @thejoule! enjoy!
"Blasting  @sayjaffe loud tonight and chilling. Weird staying at home when your wife & kids travel. They had a fun time at @HiltonGardenInn locked out of room 30 min. ""This hardly ever happens"" they said. Me: ""Sure. I get locked out a lot."" Mostly in India (Noida) though.",@thejoule @chantillydallas @UberDallas @LauraMercier @kimdawsonmodels @DeepEddyVodka Such great sponsors for the @FGIDallas #nightofstars
"@HiltonGardenInn How a person without any sense of Client Service could be a General Manager? The worst service ever. When you say ""Somenthing is not working. You mean something is not working and I need a solution."" Is that so difficult to understand? 2hrs waiting!!!  pic.twitter.com/p505UqAuLa â€“ at Hilton Garden Inn San Antonio At The Rim",#Dallas  it was too short of a visit but a lovely one none the less. Enjoyed staying @thejoule - highly recommend! #travel #Texas #hotel
"@ellenroseman @HiltonGardenInn promises that if guests are not satisfied they will make it right. Guaranteed. It is written on their website. We were given a single bed for two adults who require separate beds. They refused to make it right, because we booked on @hotwire.",With @leonbridges and friends tonight @thejoule // #love  Å¸â€™â€¢ instagram.com/p/-F3vrtRNLR/
@HiltonGardenInn the worst room and service @ HGI San Antonio at the RIM. Almost 10pm nobody can solve an issue with air ac very uncomfortable and upset. NEED HELP !!!,We had a great time hosting the Customer Advisory Board at @thejoule! See the Facebook album to recap the evening: bit.ly/2fTlQmK pic.twitter.com/fcZohIvmNI
"Normally a fan of @HiltonHotels but @HiltonGardenInn New York /Midtown Park Ave recently let down this @Hiltonhonors Diamond member. I would not recommend this Hilton property. Too many other options, avoid this one.",The spa @thejoule features personalized massages & blissful treatments. Best part? It's only blocks from @MuseumTwrDallas. #Downtownliving pic.twitter.com/lRl5VE1O7j
Very upset with @HiltonHotels after booking dad a birthday surprise @HiltonGardenInn @EmiratesOT and specifying a balcony king room my parents were put in a twin room!! Very disappointed.,What a beautiful model  in our amazing Miosa bridal gown. #thebigfakewedding #thejoule #bridesÃ¢â‚¬Â¦ instagram.com/p/x5VTtmrKAU/
"@HiltonHotels Very disappointing being charged for a cancellation fee at @HiltonGardenInn when I meant to book at @HiltonHotels Burlington VT... Going back and forth with GM and Operations Manager, they are refusing to refund my full amount.",Love the flowers!! #thebigfakewedding #thejoule #dallasweddings #brides instagram.com/p/x5VkJhrKAq/
Honestly blow away by the horrible conditions @HiltonHotels @HiltonGardenInn in downtown Chicago. Recommend choosing another chain to take your family to.,Had a fabulous stay at @thejoule Fernando and Drew in the front desk and Daniel at The Taschen library! #Hospy.  Å¸â„¢Å’ Å¸ï¿½Â¨Ã¢ï¿½Â¤Ã¯Â¸ï¿½ pic.twitter.com/ouOBvxkH4R
@AlabamaFTBL @HiltonGardenInn @HiltonHonors Tuscaloosa Hilton Garden Inn snuck a no cancellation on my reservation. Will not let me cancel for Sept! Itâ€™s July! Be careful HGI T-Town is sneaky and unhelpful!,First Look...most amazingly gorgeous Bride @thejoule pic.twitter.com/pkyiRlYKIL
"That is unacceptable!  I was thrilled when I entered my room and found it so nice, only to have this ridiculous ordeal over a simple k-cup.",If you didn't get pampered yesterday  shame on your love one! Head to #ESPA spa @thejoule. We love this spa! pic: ow.ly/i/4BGy3
"@HiltonGardenInn Why when I call on the phone there was one answer but when my sister went in person there was another answer. What was the difference. Also, we never received the towels to our room. We went to a housekeeper and they provided the towels.",@thejoule Hey guys  I'm trying to get in touch with you for the Rewardstyle conference in April. What's the best way to do this? Thanks!
"@HiltonGardenInn The front desk person then said that ""she cant deal with this"", when my sister questioned whether she was telling the truth. Some of the hotel staff were extremely friendly but the front desk and management were extremely rude.",@thejoule We love this place! Our number one choice when in Dallas.
@HiltonGardenInn Then my sister went down to the front desk and asked for towels and they stated they did not have any and the front desk was extremely rude. My sister is African American and felt like it was discrimination.  Why was a different answer told to her.,Going to #Dallas soon? @thejoule has a wonderful offer bit.ly/2aSyuUj #traveldeals pic.twitter.com/ee3GtLGKnD
"That @HiltonGardenInn TV advert is by far the most annoying advert on the box. Cringy, cheesy, bad acting, shaky camera and truly awful! #switchoff",Love this rooftop pool and lounge @thejoule! #rooftop #thejoule #dallas #texas pic.twitter.com/KX1pHHqlUk
"@HiltonGardenInn I thought your reception employee in Seville had booked the shuttle service for me, but apparently she did not. Moreover, instead of apologies, I have got - so to speak - scolding from your shuttle driver. Pretty disappointed in my first day here.",@trends_travel @thejoule Awesome!
@HiltonGardenInn We are staying at the Toronto/Oakville location. ZERO hot water in teh entire hotel!! Worst experience ever!!! Beyond not happy!,@thejoule hi there can you tell me who looks after your PR now please? (It's for an Australian magazine) Thanks!
How is the person even supposed to get to the soap? I'm able-bodied and short and even that would make this weirdly placed soap dish very inconvenient if not unsafe to use.,Didn't take a pic bc public bathroom pics are too awkward; but the lobby bathrooms @thejoule are insanely impressive.
Worst customer service ever - 22 and counting .. on HOLD @HiltonGardenInn  pic.twitter.com/VAgpZyTkWO,Good - Dallas needs some better Italian places. dallasnews.com/business/restaÃ¢â‚¬Â¦ @dallasnews @thejoule
Worst experience ever @HiltonGardenInn #wholevacationruined,@thejoule @RamblerBar really enjoyed the drinks there last weekend  didn't enjoy calling my credit card to dispute my total bill 
@HiltonGardenInn one really has to wonder when you complain about a noisy air conditioner in your room and the only suggestion from the front desk is to sleep with it off.   Is the stupidest thing I have ever heard.,So idk if I should be creeped out or impressed. It's like it see's all. The view from my window at the @thejoule pic.twitter.com/moeiNqqMFP
"Beware @hotelsdotcom and @HiltonGardenInn! Tried to change a booking, @hotelsdotcom takes no responsibility, @HiltonGardenInn Pittsfield MA dropped the ball. No room, hotel full - surprise! Poor #CustomerService. Shooed us away tired and hungry. Bad! pic.twitter.com/NdvZBbbANE",So in love with @thejoule and Weekend Coffee. Best place to knock out writing projects  people watch + drink lattes/maybe a vodka soda
"Staying at the @HiltonGardenInn in Santiago got me saying something I thought I'd never say: ""wish I stayed at the holiday in"" what a garbage Hilton location",@bbrooks_79 @thejoule I always feel like somebody's watching me...
@HiltonGardenInn Iâ€™ve received a parking fine when I stay at your Bristol hotel even though I paid for parking and gave my reg no. I called hotel and was given an email address to contact to remove fine but itâ€™s another hotels email. Please can you help sort as getting frustrated,Perfect place for a night cap. #mydtd #downtowndallas #midnightrambler #thejoule #cocktails #turnt @Ã¢â‚¬Â¦ instagram.com/p/0T2azbAi-v/
@HiltonGardenInn @HiltonHotels @indiagrill #indiagrill restaurant staff so incompetent. I have been dining in the restaurant last three nights. Waiters dont care to serve the guests with water. The rice is never refilled and it is always dry.,#Dallas I found your best coffee (downtown at least) and it is at @thejoule pic.twitter.com/5ImeZuOOjl
"@HiltonHotels @HiltonGardenInn how many days, calls, ppl does it take to fix an incorrect charge? Stayed at Hilton Garden Inn VT 6/21,22 was wrongly charged and now have two 500+ charges instead of a $21 refund. Ops manager hasnt returned calls in 1.5 wks! Worst customer service.",Maybe we can put another eyeball down there. Thanks @thejoule!! share.d-news.co/yBmLVml
@HiltonGardenInn  one working washing machine in a resort?  The ability to enter my room freely fir 5 hours?  Paradise nope. HGI Kauai not a great trip,Why we love our city #Dallas....make sure you stop by @thejoule where they will be hosting severalÃ¢â‚¬Â¦ instagram.com/p/pUqI9IQY2c/
"@HiltonGardenInn y'all made Mama Sediqe really unhappy this morning...and she rarely complains, so using my platform hoping you pay attention...because you keep ignoring her requests",Best Yoga event ever!! So fun!!@VitalFitnessSpa @thejoule @UptownDallasInc @UptownYoga @onelovedallas #namaste pic.twitter.com/3hi5zxLxcO
"@HiltonGardenInn been out of our room since 1030am, just got back (730pm) and room not serviced so no clean towels for showering. Bad service.",50 stunning rooftop bars and restaurants cnn.com/travel/articleÃ¢â‚¬Â¦ via @CNNTravel @thejoule #Dallas
"Two hearts, one young, one old...stolen moment, pure gold #tayanddrewsayido #grandma #loved #hiltongardeninn @ Hilton Garden Inn Milwaukee Northwest Conference Center  https://www.instagram.com/p/BzWIPHlAq0W/?igshid=vlgwp13242v2Â â€¦",ItÃ¢â‚¬â„¢s good to be at @thejoule. Ready for whatÃ¢â‚¬â„¢s sure to be a great conclusion to the #Bizruption series tonight. pic.twitter.com/9zi86xdNzj
"Hi Dave. We're very sorry for the noise issue during your stay. Please send us a DM with your confirmation number, the full name on the booking and email attached so we may assist you further. Thanks. -EP",Ever feel like someone's watching you? #downtowndallas #dallas #thejoule #c2sfadventureÃ¢â‚¬Â¦ instagram.com/p/tBv2NtRFPG/
"Dear @HiltonGardenInn. RE: your current UK advertising. I know who @missjudygreer is, I love Judy!! Unfortunately the rest of the UK doesn't, and nor do they understand this advertising style. Please, more Judy Greer! Just not like this! x",@dallascowboys @thejoule @Rangers @DallasLockhart Thanks for an AMAZING 4 day experience. These NYers will be back! pic.twitter.com/54465rpb6B
@HiltonGardenInn alwaysss giving horrible customer service ðŸ™„,"#thejoule view from my room ""I always feel like somebody's watching me"" @ The Joule  Dallas instagram.com/p/BM5p5kdDdii/"
I picked the wrong @HiltonGardenInn on American Blvd in Bloomington. It's about 80 degrees in our room and no maintenance people or open rooms tonight. I sure won't make this mistake again.,@thejoule Just a quick note to say how much I appreciate your Chef Concierge Andrew B's 1st class customer service. Already spoiled! Ã¢ËœÂºÃ¯Â¸ï¿½Ã°Å¸â€™â€ Ã°Å¸â€ºâ‚¬
"@HiltonHotels @HiltonGardenInn is horrible treatment of your diamond members the new normal? I expect better, yet FO manager Drew @ NYC W 35th showed today that his property has no service standard for dealing with your elite. Honestly considering heading to @MarriottBonvoy.",Had a great time last night at #Americano at @thejoule in #Dallas. Full write up coming soon to my blog! #dallasfood pic.twitter.com/RlyYQyH1Qv
Dudeâ€¦ the grammar in that letter is HORRENDOUS!!! @HiltonHotels should be embarrassed by that letter.,Every single visit to @thejoule is highlighted by their excellent cust serv. Our home away from home even tho we live 2 miles away Ã¢ï¿½Â¤Ã¯Â¸ï¿½
That's 1 big bear you got there. I imagine he's undercover during room service to avoid an additional tenancy charge ðŸ¤£  Accommodations nice - I was worried for you all. Was in San Francisco this weekend - a hard time finding parking! A small price to pay for Pride everywhere!,Sunday's 360 with artist Tony Tasset at @thejoule makes @CultureMapDAL list of the best events in Dallas this wknd. ow.ly/sELBO
"Hi James!  Waiting is the worst.  Please follow and DM with the full name, confirmation number, email address and phone number on your reservation so we can get look into this for you.    We will keep an eye out for your DM.-JM",Great #SundayFunday w/ @AmyVanderoef @VOLK_PR Ã°Å¸ï¿½Â´@CBDProvisions Ã°Å¸ï¿½Â¾ @thejoule Ã°Å¸â€™Æ’Ã°Å¸ï¿½Â» pic.twitter.com/6BG5RkX2U9
So...worst service ever at a hiltongardeninn. It would be one thing if they hadnâ€™t entered my room at all. But they clearly did and just didnâ€™t GAF. The thing they tell you to do (hang your towels for reuse) theyâ€¦  https://www.instagram.com/p/BzHOzPvlvnv/?igshid=1mz77718ixcoaÂ â€¦,"""It's Ã¢ï¿½Â°4 WNGD clue: Happy Birthday to a little bird that connects everybody to Nicki GilleyÃ°Å¸Å½ï¿½Ã°Å¸Å½â€š @HIExpress @RobertEarlKeen1 @thejoule"
@HiltonGardenInn I am extremely disappointed that I am still waiting to hear from your insurance company regarding compensation for my sons injury caused by your faulty lifts @hiltongardeninn Redondo Beach California. This is now over 2 weeks since it happened ðŸ¤¬ðŸ¤·ðŸ¼â€â™€ï¸,Lovely from the meeting space at @thejoule during pcmahq meeting instagram.com/p/m6aLpgMHre/
"But tonight, my wine was served in a glass that clearly is not clean. Thereâ€™s a better managed HGI 20 miles from here, I may be moving my future reservations to there. pic.twitter.com/1p57saTMu0",It's a beautiful morning in Dallas! #ElevateRoadshow kicks off in thirty minutes @thejoule.
@HiltonGardenInn  Jesus that's the worst ad I've ever seen.  Will still be staying at @HolidayInn for the foreseeable future.,The perfect #LBD for a sizzling Saturday night #jonathansimkhai #croptop #ootd #trafficla #thejoule @Ã¢â‚¬Â¦ instagram.com/p/uQ7KIqhaNu/
"@HiltonGardenInn woken at 3:30am by the TV deciding to come on by itself, so not impressed!  I may has well have not stayed the night at all. Worst thing is the reception were already aware and were not surprised when I told them!  If I had know I would have unplugged it.",Really want to spend my 27th birthday at @thejoule Absolutely love this place!
"These are my first impressions of @HiltonGardenInn. 1. Asked for a king bed, got two queens. 2. Fridge has clearly been off for a while, so the food I just bought is bound to go bad. 3. Hall light doesn't work. 4. Blinds won't shut all the way. #GetYourActTogether #Yuck",@ellumstudios @DtownDallasInc @ShopTrafficLA @thejoule great pic. Love downtown at night.
@HiltonGardenInn fancy pic at website but reality bites! Very disappointed to see Hilton garden inn rooms in #Singapore @makemytrip,@AdamRichman @CBDProvisions @thejoule love@the cheek especially so tasty
"@HiltonGardenInn Covington LA,  Disappointed in the housekeeping & quality of my room. I choose Hilton because you are - and I expect - better.  pic.twitter.com/QidoaMZUhv",Major shout out to @thejoule front desk folks who were lovely and hooked me up with an amazing suite. I can see the eyeball from my bed. Ã°Å¸â€“Â¤ pic.twitter.com/e53Dh5pN8l
@HiltonGardenInn @HiltonHotels @ParisHilton  This hotel takes advantage of the handicapped. An accidental click of the wrong date by someone with Parkinsonâ€™s will result in a cancelation fee. They do not care and I was hung up on with the excuse â€œ I have guests in front of me â€œ.,Incredible night thejoule #hotel in #Dallas! The #decor is stunning! #lovethislightfixture #beautyÃ¢â‚¬Â¦ instagram.com/p/jUyWd-Iifd/
@HiltonGardenInn  This hotel takes advantage of the handicapped. An accidental click of the wrong date by someone with Parkinsonâ€™s will result in a cancelation fee. They do not care and I was hung up on with the excuse â€œ I have guests in front of me â€œ.  Donâ€™t ever stay here.,Dallas has a jewel ... @thejoule! best coffee and pastries in Dallas! Dreaminggggggg Ã°Å¸ËœÂ± pic.twitter.com/IU0pJCHK7H
"@HiltonGardenInn how are you able to charge a card that was never presented to you, and you never provided a service. Idk what you and @hotelsdotcom got going but this needs to be rectified ASAP....since @hotelsdotcom thinks am making this up... pic.twitter.com/rgWdqm3LUg",Lots of great Downtown spots to vote for! @kettleart @LeeHarveys @canerosso @vertigotwelve @thejoule @pinktoesnailbar readerschoice.dallasobserver.com
"@hiltongardeninn Fairfield gave us a room with wet, yellow colored bedding - gross. Was it pee? Feeling like the room is dirty and I have my kids with me. I asked to speak to a manager. There isnâ€™t one. I asked to speak to most senior person. There wasnâ€™t one. #guestsdontmatter",@DtownDallasInc @kettleart @LeeHarveys @canerosso @vertigotwelve @thejoule Thank you @DtownDallasInc !!!! Ã°Å¸ËœËœÃ°Å¸ËœËœ
"@HiltonGardenInn staying at the HGI in Secaucus, NJ and wifi is not working and most of the TV channels are not working either. Front desk says it's not their fault, saying internet outage is regional which makes no sense.",@HP_Village @chantillydallas @thejoule So glad to have these 3 fab companies on board for @FGIDallas Night Of Stars with @Zac_Posen
That is horrible. Iâ€™m so sorry.,Relaxing by the rooftop pool @thejoule #dallas #texas pic.twitter.com/eXwkKWvCKG
So disappointed with @HiltonGardenInn Charlotte Airport. My kids name is on the reservation but you wonâ€™t let her in the room without my CC! YOU ALREADY HAVE MY CARD! #letmykidintheroom,Loving @thejoule! Izzy was great at check in and Brian was on point with nails in Espa!
@HiltonGardenInn had a horrible experience at Hilton Garden Inn Charlotte/Concord. Hosted an event there this weekend and was not pleased!,Sunday yoga & brunch @thejoule Ã°Å¸â€™â„¢ such a great reminder 2 get out in your community  make new friends & #domoreyoga pic.twitter.com/G12fKABMXB
"@HiltonHonors @HiltonGardenInn Walked into my suite at HGI Bali to find 1) the sofa reeked in pee 2) the aircon is broken (can't adjust fan speed) 3) sewage quality water in the bathroom 4) broken lavatory. As compensation, hotel's offering late checkout. Seriously?? #insulting pic.twitter.com/hfgmEfGJ9o",Thank you Americano @thejoule for hosting and taking such great care of these talented and generous people! twitter.com/stanleysfamousÃ¢â‚¬Â¦
@HiltonGardenInn Extremely disappointed with my stay so far as well as the level of customer service. I really expected much more....,@Try_Dallas @ThisNewBand @D_TOWNTHROWDOWN @DtownDallasInc @Central_Track @thejoule Thank you! I wasn't there but my daughter made 1/4 finals
".@HiltonGardenInn worst check in experience @ Killeen location, room smells and even worse... how dirty the bathtub is... shouldâ€™ve brought my chanclas. But hey, at least we got two free bottles of water... ðŸ¤·ðŸ»â€â™‚ï¸  pic.twitter.com/9BurimkTyh",Where to find the best pig head carnitas in Dallas: forbes.com/sites/cheryltiÃ¢â‚¬Â¦ @thejoule @CBDProvisions @Forbes @ForbesLife #carnitas #dallas
I have never felt so ripped off before then by this company in redondo beach ca. If anyone is planning  on staying here please reach out to me and I will tell you how I was treated and lost my money with a smile from there mangerTray. I will be glad to offer any help.,Thank u @thejoule Ã°Å¸â€™â€“ for a wonderful day at the arty Joule hotel #dallas #sundayfun #artbrunchÃ¢â‚¬Â¦ instagram.com/p/jXiPS_CAjz/
"Honor your guest by not taking thereâ€™s money and telling them since they can in after two you sold the room to someone else making twice the amount. Theft , fraud , terrible manager . I feel like I got my check stolen",@nashersculpture @thejoule I wished I lived closer. I would LOVE to attend your events!
@HiltonGardenInn Yakima WA! Never fails to be on top of their customer service ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼Class Act!  pic.twitter.com/ESfLw1e8FO,Just landed at the Dallas/Fort Worth airport.... Excited to stay at @thejoule tonight!!! Ã°Å¸ËœÅ 
@HiltonGardenInn @HiltonHotels @HiltonHonors extremely disappointed with the customer service I received this evening. #terriblecustomerservice,@LuckyGalBianca @LornaJaneActive @thejoule Nice view! The city looks ok too!
"@HiltonGardenInn @HiltonHotels Iâ€™m a @HiltonHonors  member - Terrible customer service at your Hershey location, called tonight to confirm my rooms for check in tomorrow night. gave my name, â€œguest managerâ€ Matt told me I had different rooms then I really had & that he had us",We agree with @ArchDigest that @thejoule has one of the world's best infinity pools. ow.ly/Mnr13099Rhn #ThePreferredLife pic.twitter.com/P6Od7d0bgk
".@HiltonGardenInn broke ground at the Camden Waterfront this morning, marking the first time a hotel has been built in the city in over 50 years. #Mayor #FrankMoran tells @whyy this is a new chapter, and it wouldnâ€™t have been possible without tax incentives. @CityofCamdenGov pic.twitter.com/1J0ixUNDwT â€“ at Camden Waterfront",I had the BEST spa experience EVER at ESPA at @thejoule Dallas. By far the best spa I've ever been to! #happybirthdaytome @ESPAskincare
"Worst experience of my life. I will never order #roomservice from a @HiltonHotels again. Took 2-3 hours to get two sandwiches, fries and a drink, overcharged me and got my food wrong anyway. After all that! @HiltonHonors #HiltonGardenInn #Toronto #Canada #Brompton",Walking through @thejoule is like going to the club nowadays. Ã°Å¸Ëœâ€š
"Cuz..Game of Thrones was disappointing to say the least,but you not showing yourself in your swim outfit really put a downer on my long weekend.ðŸ¥º",Thanks to @thejoule for this wonderful profile intv with @wardrobs 1530main.com/courting-rituaÃ¢â‚¬Â¦ #delinleedelovelypr pic.twitter.com/lK2PNqP5so
@HiltonGardenInn WORST treatment ever from David at the front desk at the HGI West in Little Rock AR.   When I asked for help he was so rude and disrespectful & then threatened to call the police because he cldnt handle my frustration w/his behavior. Completely gross behavior.,I'm excited about having tea at @TASCHEN via @thejoule  next week! Ã¢Ëœâ€¢Ã¯Â¸ï¿½
@HiltonGardenInn I never had such horrible treatment/ blatant disrespect and hostility from a front desk worker. David at the HGI West in Little Rock AR was horrific. He treated us with such disregard & I got frustrated he threatened to kick ME out.  Everyone saw.,Love waking up 2 a 30 ft eyeball staring at me thru my window @thejoule. An exquisite hotel  amazing art inside too. fastcodesign.com/3022295/there-Ã¢â‚¬Â¦
"What the heck? Bad look, @HiltonGardenInn!",#fluffpop #thejoule great vendors for RADS lunch instagram.com/p/wzIj3OkxqS/
The bad treatment of conservatives is unfortunate,If you're in the neighborhood be sure to stop by 1200 Ross Ave! This is perfect hot chocolate weather! @thejoule #downtowndallas
So the #HiltonGardenInn Iâ€™m staying at was going to charge me $50 fee because I need to check out one day earlier than my reservation? What a horrible policy as @HiltonHotels should cater to the business traveler.  Sometimes my customers change plans. Câ€™mon @HiltonHonors!,Thanks to @nashersculpture @thejoule for hosting artistTony Tasset. Very inpiring! Big props to @laterrastudio  too! pic.twitter.com/BwPodelejF
"Horrible table service, rude staff and serving alcohol to visibly intoxicated guests. @hiltongardeninn.",@ClaytonDCarter @thejoule nice! have you tried our coffee before? We're a local ATX roaster!
